"_raw","_time",action,adom,"adom_oid",advpnsc,app,appcat,assignip,auditid,auditreporttype,auditscore,audittime,"authentication_service",bandwidth,body,bytes,"bytes_in","bytes_out",cfgattr,cfgobj,cfgpath,cfgtid,"change_type",changes,cookies,cpu,"cpu_load_percent",cpuusage,craction,criticalcount,crlevel,crscore,date,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",desc,dest,"dest_interface","dest_ip","dest_ip_range","dest_mac","dest_port","dest_translated_ip","dest_translated_port","dest_zone",devid,devname,devtype,dir,disk,disk2usage,disklograte,diskusage,dstcountry,dstdevtype,dstfamily,dsthwvendor,dsthwversion,dstintf,dstintfrole,dstip,dstmac,dstosname,dstport,dstserver,dstswversion,dstuuid,duration,durationdelta,dvc,"error_num",espauth,esptransform,eventtime,eventtype,exch,fazlograte,fctuid,freediskstorage,from,"ftnt_action",group,highcount,host,id,identifier,"in_spi",index,init,interface,itime,"lease_duration",level,linecount,locip,locport,"log_action","log_id",logdesc,"logdev_id","logdev_last_logging","logdev_name","logdev_offline_duration",logid,lograte,logratelimit,logratepeak,logver,lowcount,masterdstmac,mastersrcmac,mediumcount,mem,"mem_free","mem_used",memusage,method,mode,msg,msgrate,nextstat,object,"object_attrs","object_category","object_id","object_path",operation,"out_spi",outintf,packets,"packets_in","packets_out",passedcount,"peer_notif","performed_on",policyid,policyname,policytype,poluuid,pri,product,"product_version",profile,proto,protocol,"protocol_version",punct,rcvdbyte,rcvddelta,rcvdpkt,rcvdpktdelta,reason,remip,remport,"resource_type",result,role,rule,"rule_id",sentbyte,sentdelta,sentpkt,sentpktdelta,seq,service,"session_id",sessionid,setuprate,severity,"severity_id",signature,sn,source,sourcetype,spi,"splunk_server","splunk_server_group",src,"src_interface","src_ip","src_ip_from_ui","src_ip_range","src_mac","src_port","src_port_range","src_translated_ip","src_translated_port","src_user","src_user_name","src_user_type","src_zone",srccountry,srchwvendor,srcintf,srcintfrole,srcip,srcmac,srcport,srcserver,srcuuid,ssid,stage,state,status,stitch,stitchaction,subtype,sysuptime,tag,"tag::action","tag::app","tag::eventtype","tag::object_category","tcp_flag",time,timeendpos,timestamp,timestartpos,total,totalsession,trandisp,tranip,tranport,transip,transport,trigger,tunnelid,tunnelip,tunnelname,tunneltype,type,tz,ui,used,user,"user_from","user_name","user_type",useralt,userfrom,vd,vendor,"vendor_action","vendor_eventtype","vendor_product","vendor_status","vendor_transport","vendor_url",version,vpntunnel,vpntype,waninfo,wifi,xauthgroup,xauthuser
"Nov  2 05:34:34 172.28.174.30 logver=704042662 timestamp=1762061672 devname=""TYD_COR_FW_01"" devid=""FG10E0TB23900270"" vd=""root"" date=2025-11-02 time=05:34:32 eventtime=1762029272245136162 tz=""+0900"" logid=""0000000020"" type=""traffic"" subtype=""forward"" level=""notice"" srcip=172.21.32.18 srcport=35230 srcintf=""port27"" srcintfrole=""undefined"" dstip=172.20.1.12 dstport=9900 dstintf=""port28"" dstintfrole=""undefined"" srcuuid=""35f7e11a-3443-51ef-0130-bbe165a0df3f"" dstuuid=""b60398b4-2d49-51ef-cf05-61baeb1b9689"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=274590236 proto=6 action=""accept"" policyid=3 policytype=""policy"" poluuid=""473c9704-a8e1-51f0-3406-63b2e4257b63"" policyname=""WEBWAS_TST"" service=""TCP_9900"" trandisp=""noop"" duration=124225 sentbyte=133784 rcvdbyte=241849 sentpkt=2078 rcvdpkt=4148 appcat=""unscanned"" sentdelta=128 rcvddelta=232 durationdelta=120 sentpktdelta=2 rcvdpktdelta=4","2025-11-02T05:34:34.000+0900",allowed,,,,"TCP_9900",unscanned,,,,,,,,,360,232,128,,,,,,,,,,,,,,,"2025-11-02",5,2,34,november,34,sunday,2025,local,,"172.20.1.12",port28,"172.20.1.12",,,9900,,,undefined,FG10E0TB23900270,"TYD_COR_FW_01",,,,,,,Reserved,,,,,port28,undefined,"172.20.1.12",,,9900,,,"b60398b4-2d49-51ef-cf05-61baeb1b9689",124225,120,"TYD_COR_FW_01",,,,1762029272245136162,"ftnt_fortigate ftnt_fortigate_traffic watchlist website_watchlist",,,,,,accept,,,"172.28.174.30",,,,fw,,,,,notice,1,,,,,,,,,,0000000020,,,,704042662,,,,,,,,,,,,,,,,,,,,,,6226,4148,2078,,,,3,"WEBWAS_TST",policy,"473c9704-a8e1-51f0-3406-63b2e4257b63",,Firewall,704042662,,6,ip,ipv4,,232,232,4148,4,,,,,,,"473c9704-a8e1-51f0-3406-63b2e4257b63",3,128,128,2078,2,,"TCP_9900",274590236,274590236,,,,,,"udp:9514","fortigate_traffic",,"PYD_INT_LOG01",,"172.21.32.18",port27,"172.21.32.18",,,,35230,,,35230,,,,undefined,Reserved,,port27,undefined,"172.21.32.18",,35230,,"35f7e11a-3443-51ef-0130-bbe165a0df3f",,,,,,,forward,,"communicate
network",,,"communicate
network",,,"05:34:32",16,1762061672,0,,,noop,,,,tcp,,,,,,traffic,"+0900",,,,,,,,,root,Fortinet,accept,,"Fortinet Firewall",,,,,,,,,,
"Nov  2 05:34:34 172.28.174.30 logver=704042662 timestamp=1762061674 devname=""PYD_MGT_FW"" devid=""FG10E0TB23900225"" vd=""root"" date=2025-11-02 time=05:34:34 eventtime=1762029273981017861 tz=""+0900"" logid=""0000000015"" type=""traffic"" subtype=""forward"" level=""notice"" srcip=192.168.20.49 srcport=57201 srcintf=""port26"" srcintfrole=""undefined"" dstip=172.28.32.56 dstport=14200 dstintf=""port30"" dstintfrole=""lan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=2619047062 proto=6 action=""start"" policyid=72 policytype=""policy"" poluuid=""6890b0b6-9ab8-51f0-8f02-6eca9f4fe8df"" policyname=""[HIW\]_USERS_HIW_Client_ALLOW"" service=""TCP_14200"" trandisp=""noop"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned""","2025-11-02T05:34:34.000+0900",allowed,,,,"TCP_14200",unscanned,,,,,,,,,0,0,0,,,,,,,,,,,,,,,"2025-11-02",5,2,34,november,34,sunday,2025,local,,"172.28.32.56",port30,"172.28.32.56",,,14200,,,lan,FG10E0TB23900225,"PYD_MGT_FW",,,,,,,Reserved,,,,,port30,lan,"172.28.32.56",,,14200,,,,0,,"PYD_MGT_FW",,,,1762029273981017861,"ftnt_fortigate ftnt_fortigate_traffic watchlist website_watchlist",,,,,,start,,,"172.28.174.30",,,,fw,,,,,notice,1,,,,,,,,,,0000000015,,,,704042662,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,72,"[HIW\]_USERS_HIW_Client_ALLOW",policy,"6890b0b6-9ab8-51f0-8f02-6eca9f4fe8df",,Firewall,704042662,,6,ip,ipv4,,0,,0,,,,,,,,"6890b0b6-9ab8-51f0-8f02-6eca9f4fe8df",72,0,,0,,,"TCP_14200",2619047062,2619047062,,,,,,"udp:9514","fortigate_traffic",,"PYD_INT_LOG01",,"192.168.20.49",port26,"192.168.20.49",,,,57201,,,57201,,,,undefined,Reserved,,port26,undefined,"192.168.20.49",,57201,,,,,,,,,forward,,"communicate
network",,,"communicate
network",,,"05:34:34",16,1762061674,0,,,noop,,,,tcp,,,,,,traffic,"+0900",,,,,,,,,root,Fortinet,start,,"Fortinet Firewall",,,,,,,,,,
"Nov  2 05:34:32 172.24.176.50 logver=704042662 timestamp=1762061666 devname=""PPHW_ORD_FW_01"" devid=""FG4H0FT923914873"" vd=""MGT"" date=2025-11-02 time=05:34:26 eventtime=1762029266190700978 tz=""+0900"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=20 totalsession=13 disk=0 bandwidth=""54/50"" setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=32791044 waninfo=""N/A"" msg=""Performance statistics: average CPU: 0, memory:  20, concurrent sessions:  13, setup-rate: 0""","2025-11-02T05:34:32.000+0900",,,,,,,,,,,,,"54/50","Performance statistics: average CPU: 0, memory:  20, concurrent sessions:  13, setup-rate: 0",,,,,,,,,,,0,0,,,,,,"2025-11-02",5,2,34,november,32,sunday,2025,local,,"PPHW_ORD_FW_01",,,,,,,,,FG4H0FT923914873,"PPHW_ORD_FW_01",,,0,,0,,,,,,,,,,,,,,,,,,"PPHW_ORD_FW_01",,,,1762029266190700978,"ftnt_fortigate ftnt_fortigate_event ftnt_fortigate_perf_stats ftnt_fortigate_system",,0,,0,,,,,"172.24.176.50",0100040704,,,fw,,,,,notice,1,,,"perf-stats",,"System performance statistics",,,,,0100040704,,,,704042662,,,,,20,80,20,,,,"Performance statistics: average CPU: 0, memory:  20, concurrent sessions:  13, setup-rate: 0",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,,,,system,"System performance statistics",,,,,,,,,,,,0,low,5,"System performance statistics",,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,system,32791044,"cpu
memory
os
performance",,,"cpu
memory
os
performance",,,"05:34:26",16,1762061666,0,,13,,,,,,,,,,,event,"+0900",,,,,,,,,MGT,Fortinet,"perf-stats",,"Fortinet Firewall",unknown,,,,,,"N/A",,,
"Nov  2 05:34:31 172.24.176.50 logver=704042662 timestamp=1762061668 devname=""RTKA_ORD_FW_01"" devid=""FG200FT923922779"" vd=""MGT"" date=2025-11-02 time=05:34:28 eventtime=1762029268116136886 tz=""+0900"" logid=""0100041001"" type=""event"" subtype=""system"" level=""critical"" logdesc=""FortiGate update failed"" status=""update"" msg=""Fortigate scheduled update failed""","2025-11-02T05:34:31.000+0900",,,,,,,,,,,,,,"Fortigate scheduled update failed",,,,,,,,,,,,,,,,,,"2025-11-02",5,2,34,november,31,sunday,2025,local,,,,,,,,,,,FG200FT923922779,"RTKA_ORD_FW_01",,,,,,,,,,,,,,,,,,,,,,,"RTKA_ORD_FW_01",,,,1762029268116136886,"err0r ftnt_fortigate ftnt_fortigate_event ftnt_fortigate_system",,,,,,,,,"172.24.176.50",0100041001,,,fw,,,,,critical,1,,,,,"FortiGate update failed",,,,,0100041001,,,,704042662,,,,,,,,,,,"Fortigate scheduled update failed",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,,,,,"FortiGate update failed",,,,,,,,,,,,,critical,2,,,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,,,,,,,,,,,,,,,,,,,,,,,,,,,update,,,system,,error,,,error,,,"05:34:28",16,1762061668,0,,,,,,,,,,,,,event,"+0900",,,,,,,,,MGT,Fortinet,,,"Fortinet Firewall",update,,,,,,,,,
"Nov  2 05:34:27 172.28.174.30 logver=704042662 timestamp=1762061666 devname=""PHQ_ASN_FW_01"" devid=""F2K60FTK23900071"" vd=""mgt"" date=2025-11-02 time=05:34:26 eventtime=1762029266443082641 tz=""+0900"" logid=""0100032021"" type=""event"" subtype=""system"" level=""alert"" logdesc=""Admin login disabled"" ui=""127.0.0.1"" action=""login"" status=""failed"" reason=""exceed_limit"" msg=""Login disabled from IP 127.0.0.1 for 25 seconds because of 3 bad attempts""","2025-11-02T05:34:27.000+0900",failure,,,,,,,,,,,,,"Login disabled from IP 127.0.0.1 for 25 seconds because of 3 bad attempts",,,,,,,,auth,,,,,,,,,,"2025-11-02",5,2,34,november,27,sunday,2025,local,,,,,,,,,,,F2K60FTK23900071,"PHQ_ASN_FW_01",,,,,,,,,,,,,,,,,,,,,,,"PHQ_ASN_FW_01",,,,1762029266443082641,"err0r ftnt_fortigate ftnt_fortigate_auth_privileged ftnt_fortigate_auth_privileged_login ftnt_fortigate_event ftnt_fortigate_system",,,,,,,,,"172.28.174.30",0100032021,,,fw,,,,,alert,1,,,login,,"Admin login disabled",,,,,0100032021,,,,704042662,,,,,,,,,,,"Login disabled from IP 127.0.0.1 for 25 seconds because of 3 bad attempts",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,"exceed_limit",,,,"Admin login disabled",,,,,,,,,,,,,critical,1,,,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,"127.0.0.1",,"127.0.0.1","127.0.0.1",,,,,,,,,Admin,,,,,,,,,,,,,,failed,,,system,,"authentication
error
failure
privileged",failure,,"authentication
error
privileged",,,"05:34:26",16,1762061666,0,,,,,,,,,,,,,event,"+0900","127.0.0.1",,,,,Admin,,,mgt,Fortinet,login,,"Fortinet Firewall",failed,,,,,,,,,
"Nov  2 05:34:27 172.28.174.30 logver=704042662 timestamp=1762061662 devname=""PYD_MGT_FW"" devid=""FG10E0TB23900225"" vd=""service"" date=2025-11-02 time=05:34:22 eventtime=1762029262456877233 tz=""+0900"" logid=""0000000011"" type=""traffic"" subtype=""forward"" level=""warning"" srcip=192.168.101.200 srcport=60901 srcintf=""port28"" srcintfrole=""undefined"" dstip=172.24.176.23 dstport=53 dstintf=""port23"" dstintfrole=""undefined"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=2619024009 proto=17 action=""ip-conn"" policyid=92 policytype=""policy"" poluuid=""4d4aa1e2-a8f8-51f0-ad9b-f47ebe1518d1"" policyname=""Axgate VPN AD"" service=""AD_UDP"" appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"" msg=""Connection Failed""","2025-11-02T05:34:27.000+0900",allowed,,,,"AD_UDP",unscanned,,,,,,,,,,,,,,,,,,,,,,262144,,low,5,"2025-11-02",5,2,34,november,27,sunday,2025,local,,"172.24.176.23",port23,"172.24.176.23",,,53,,,undefined,FG10E0TB23900225,"PYD_MGT_FW",,,,,,,Reserved,,,,,port23,undefined,"172.24.176.23",,,53,,,,,,"PYD_MGT_FW",,,,1762029262456877233,"err0r ftnt_fortigate ftnt_fortigate_traffic",,,,,,"ip-conn",,,"172.28.174.30",,,,fw,,,,,warning,1,,,,,,,,,,0000000011,,,,704042662,,,,,,,,,,,"Connection Failed",,,,,,,,,,,,,,,,,92,"Axgate VPN AD",policy,"4d4aa1e2-a8f8-51f0-ad9b-f47ebe1518d1",,Firewall,704042662,,17,ip,ipv4,,,,,,,,,,,,"4d4aa1e2-a8f8-51f0-ad9b-f47ebe1518d1",92,,,,,,"AD_UDP",2619024009,2619024009,,,,,,"udp:9514","fortigate_traffic",,"PYD_INT_LOG01",,"192.168.101.200",port28,"192.168.101.200",,,,60901,,,60901,,,,undefined,Reserved,,port28,undefined,"192.168.101.200",,60901,,,,,,,,,forward,,"communicate
error
network",,,"communicate
error
network",,,"05:34:22",16,1762061662,0,,,,,,,udp,,,,,,traffic,"+0900",,,,,,,,,service,Fortinet,"ip-conn",,"Fortinet Firewall",,,,,,,,,,
"Nov  2 05:34:18 172.28.174.30 logver=704042662 timestamp=1762061655 devname=""PYD_DMZ_FW"" devid=""FG10E0TB23900424"" vd=""mgt"" date=2025-11-02 time=05:34:15 eventtime=1762029256042309627 tz=""+0900"" logid=""0100032002"" type=""event"" subtype=""system"" level=""alert"" logdesc=""Admin login failed"" sn=""0"" user=""SECMON"" ui=""http(127.0.0.1)"" method=""http"" srcip=127.0.0.1 dstip=127.0.0.1 action=""login"" status=""failed"" reason=""passwd_invalid"" msg=""Administrator SECMON login failed from http(127.0.0.1) because of invalid password""","2025-11-02T05:34:18.000+0900",failure,,,,FortiOS,,,,,,,,,"Administrator SECMON login failed from http(127.0.0.1) because of invalid password",,,,,,,,auth,,,,,,,,,,"2025-11-02",5,2,34,november,18,sunday,2025,local,,"127.0.0.1",,"127.0.0.1",,,,,,,FG10E0TB23900424,"PYD_DMZ_FW",,,,,,,,,,,,,,"127.0.0.1",,,,,,,,,"PYD_DMZ_FW",,,,1762029256042309627,"err0r ftnt_fortigate ftnt_fortigate_auth_privileged ftnt_fortigate_auth_privileged_login ftnt_fortigate_event ftnt_fortigate_system",,,,,,,,,"172.28.174.30",0100032002,,,fw,,,,,alert,1,,,login,,"Admin login failed",,,,,0100032002,,,,704042662,,,,,,,,,http,,"Administrator SECMON login failed from http(127.0.0.1) because of invalid password",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,"passwd_invalid",,,,"Admin login failed",,,,,,,,,,,,,critical,1,,0,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,"127.0.0.1",,"127.0.0.1","127.0.0.1",,,,,,,SECMON,SECMON,Admin,,,,,,"127.0.0.1",,,,,,,,failed,,,system,,"authentication
error
failure
privileged",failure,,"authentication
error
privileged",,,"05:34:15",16,1762061655,0,,,,,,,,,,,,,event,"+0900","http(127.0.0.1)",,SECMON,,SECMON,Admin,,,mgt,Fortinet,login,,"Fortinet Firewall",failed,,,,,,,,,
"Nov  2 05:33:43 172.24.176.50 logver=704042662 timestamp=1762061621 devname=""PTIM_ORD_FW_01"" devid=""FG200FT923923628"" vd=""MGT"" date=2025-11-02 time=05:33:41 eventtime=1762029220280921361 tz=""+0900"" logid=""0100046600"" type=""event"" subtype=""system"" level=""notice"" logdesc=""Automation stitch triggered"" stitch=""Security Rating Notification"" trigger=""Security Rating Notification"" stitchaction=""FortiExplorer Notification"" from=""log"" msg=""stitch:Security Rating Notification is triggered.""","2025-11-02T05:33:43.000+0900",,,,,system,,,,,,,,,"stitch:Security Rating Notification is triggered.",,,,,,,,,,,,,,,,,,"2025-11-02",5,2,33,november,43,sunday,2025,local,,,,,,,,,,,FG200FT923923628,"PTIM_ORD_FW_01",,,,,,,,,,,,,,,,,,,,,,,"PTIM_ORD_FW_01",,,,1762029220280921361,"ftnt_fortigate ftnt_fortigate_alerts ftnt_fortigate_event ftnt_fortigate_system",,,,,log,,,,"172.24.176.50",0100046600,,,fw,,,,,notice,1,,,,,"Automation stitch triggered",,,,,0100046600,,,,704042662,,,,,,,,,,,"stitch:Security Rating Notification is triggered.",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,,,,,"Automation stitch triggered",,,,,,,,,,,,,low,5,"Automation stitch triggered",,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Security Rating Notification","FortiExplorer Notification",system,,alert,,,alert,,,"05:33:41",16,1762061621,0,,,,,,,,"Security Rating Notification",,,,,event,"+0900",,,,,,,,,MGT,Fortinet,,,"Fortinet Firewall",unknown,,,,,,,,,
"Nov  2 05:33:43 172.24.176.50 logver=704042662 timestamp=1762061620 devname=""PTIM_ORD_FW_01"" devid=""FG200FT923923628"" vd=""MGT"" date=2025-11-02 time=05:33:40 eventtime=1762029219690689502 tz=""+0900"" logid=""0110052000"" type=""event"" subtype=""security-rating"" level=""notice"" logdesc=""Security Rating summary"" auditid=1762029218097 audittime=1762029219 auditscore=""385.4"" auditreporttype=""PostureReport"" criticalcount=0 highcount=3 mediumcount=6 lowcount=0 passedcount=37","2025-11-02T05:33:43.000+0900",,,,,,,,1762029218097,PostureReport,"385.4",1762029219,,,,,,,,,,,,,,,,,,0,,,"2025-11-02",5,2,33,november,43,sunday,2025,local,,,,,,,,,,,FG200FT923923628,"PTIM_ORD_FW_01",,,,,,,,,,,,,,,,,,,,,,,"PTIM_ORD_FW_01",,,,1762029219690689502,"ftnt_fortigate ftnt_fortigate_event",,,,,,,,3,"172.24.176.50",0110052000,,,fw,,,,,notice,1,,,,,"Security Rating summary",,,,,0110052000,,,,704042662,0,,,6,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,Firewall,704042662,,,,,,,,,,,,,,"Security Rating summary",,,,,,,,,,,,,low,5,,,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"security-rating",,,,,,,,"05:33:40",16,1762061620,0,,,,,,,,,,,,,event,"+0900",,,,,,,,,MGT,Fortinet,,,"Fortinet Firewall",unknown,,,,,,,,,
"Nov  2 05:33:25 172.24.176.50 logver=704042662 timestamp=1762061619 devname=""PPKW_ORD_FW_01"" devid=""FG4H0FT923912764"" vd=""MGT"" date=2025-11-02 time=05:33:39 eventtime=1762029218989835950 tz=""+0900"" logid=""0100032006"" type=""event"" subtype=""system"" level=""information"" logdesc=""Super admin entered VDOM"" user=""FortiManager"" ui=""fgfm_tunnel"" action=""vdom-switch"" reason=""none"" msg=""User FortiManager has entered the virtual domain MGT""","2025-11-02T05:33:25.000+0900",,,,,system,,,,,,,,,"User FortiManager has entered the virtual domain MGT",,,,,,,,,,,,,,,,,,"2025-11-02",5,2,33,november,25,sunday,2025,local,,,,,,,,,,,FG4H0FT923912764,"PPKW_ORD_FW_01",,,,,,,,,,,,,,,,,,,,,,,"PPKW_ORD_FW_01",,,,1762029218989835950,"ftnt_fortigate ftnt_fortigate_alerts ftnt_fortigate_event ftnt_fortigate_system",,,,,,,,,"172.24.176.50",0100032006,,,fw,,,,,information,1,,,"vdom-switch",,"Super admin entered VDOM",,,,,0100032006,,,,704042662,,,,,,,,,,,"User FortiManager has entered the virtual domain MGT",,,,,,,,,,,,,,,,,,,,,,Firewall,704042662,,,,,,,,,,none,,,,"Super admin entered VDOM",,,,,,,,,,,,,informational,6,"Super admin entered VDOM",,"udp:9514","fortigate_event",,"PYD_INT_LOG01",,,,,,,,,,,,FortiManager,FortiManager,,,,,,,,,,,,,,,,,,system,,alert,,,alert,,,"05:33:39",16,1762061619,0,,,,,,,,,,,,,event,"+0900","fgfm_tunnel",,FortiManager,,FortiManager,,,,MGT,Fortinet,"vdom-switch",,"Fortinet Firewall",unknown,,,,,,,,,
