logid,event_type,tactic_id,tactic_name,technique_id,technique_name,description,severity
0100044545,config_add,TA0003,Persistence,T1098,Account Manipulation,Configuration object added - potential persistence mechanism,medium
0100044546,config_edit,TA0005,Defense Evasion,T1562,Impair Defenses,Configuration modified - possible defense evasion,high
0100044547,config_delete,TA0040,Impact,T1485,Data Destruction,Configuration deleted - potential impact on operations,critical
0100032001,utm_virus,TA0001,Initial Access,T1566,Phishing,Virus/malware detected in traffic,critical
0100032002,utm_ips,TA0009,Collection,T1040,Network Sniffing,IPS signature triggered - network reconnaissance,high
0100032003,utm_webfilter,TA0001,Initial Access,T1189,Drive-by Compromise,Web filter blocked malicious site access,medium
0100032004,utm_app_ctrl,TA0011,Command and Control,T1071,Application Layer Protocol,Application control policy violation,medium
0100032005,utm_botnet,TA0011,Command and Control,T1071,Application Layer Protocol,Botnet C2 communication detected,critical
0100030001,traffic_forward,TA0010,Exfiltration,T1048,Exfiltration Over Alternative Protocol,Traffic forwarded - potential data exfiltration,low
0100030002,traffic_deny,TA0005,Defense Evasion,T1562,Impair Defenses,Traffic denied by policy,low
0100030003,traffic_local,TA0007,Discovery,T1046,Network Service Scanning,Local traffic - internal network activity,low
0100031001,session_created,TA0007,Discovery,T1046,Network Service Scanning,New session created - network scanning possible,low
0100031002,session_terminated,TA0040,Impact,T1499,Endpoint Denial of Service,Session terminated - possible DoS attack,medium
0100040001,vpn_login_success,TA0001,Initial Access,T1078,Valid Accounts,VPN login successful - account usage,low
0100040002,vpn_login_failure,TA0006,Credential Access,T1110,Brute Force,VPN login failed - potential brute force attack,high
0100040003,vpn_logout,TA0011,Command and Control,T1071,Application Layer Protocol,VPN session logout,low
0100022001,admin_login,TA0001,Initial Access,T1078,Valid Accounts,Administrator login - privileged access,medium
0100022002,admin_logout,TA0011,Command and Control,T1071,Application Layer Protocol,Administrator logout,low
0100022003,admin_login_fail,TA0006,Credential Access,T1110,Brute Force,Administrator login failed - credential attack,critical
0100020001,system_restart,TA0040,Impact,T1529,System Shutdown/Reboot,System restart initiated,high
0100020002,system_shutdown,TA0040,Impact,T1529,System Shutdown/Reboot,System shutdown initiated,critical
0100013001,ha_failover,TA0040,Impact,T1498,Network Denial of Service,HA failover occurred - service disruption,high
0100013002,ha_sync_fail,TA0040,Impact,T1498,Network Denial of Service,HA synchronization failed,medium
